Meses,Linha,Passageiros
2024-12-01,1_azul,18840000
2024-11-01,1_azul,20460000
2024-10-01,1_azul,22206000
2024-09-01,1_azul,20995000
2024-08-01,1_azul,21265000
2024-07-01,1_azul,19649000
2024-06-01,1_azul,19934000
2024-05-01,1_azul,20623000
2024-04-01,1_azul,21247000
2024-03-01,1_azul,20437000
2024-02-01,1_azul,18558000
2024-01-01,1_azul,17684000
2023-12-01,1_azul,19243000
2023-11-01,1_azul,19241000
2023-10-01,1_azul,19754000
2023-09-01,1_azul,20269000
2023-08-01,1_azul,21408000
2023-07-01,1_azul,19187000
2023-06-01,1_azul,19720000
2023-05-01,1_azul,20998000
2023-04-01,1_azul,18701000
2023-03-01,1_azul,20324000
2023-02-01,1_azul,17057000
2023-01-01,1_azul,17163000
2022-12-01,1_azul,18176000
2022-11-01,1_azul,18677000
2022-10-01,1_azul,19679000
2022-09-01,1_azul,19046000
2022-08-01,1_azul,19922000
2022-07-01,1_azul,18175000
2022-06-01,1_azul,17926000
2022-05-01,1_azul,19350000
2022-04-01,1_azul,17547000
2022-03-01,1_azul,18216000
2022-02-01,1_azul,14891000
2022-01-01,1_azul,13688000
2021-12-01,1_azul,16317000
2021-11-01,1_azul,16326000
2021-10-01,1_azul,15384000
2021-09-01,1_azul,14620000
2021-08-01,1_azul,13887000
2021-07-01,1_azul,12800000
2021-06-01,1_azul,12216000
2021-05-01,1_azul,11414000
2021-04-01,1_azul,9192000
2021-03-01,1_azul,9795000
2021-02-01,1_azul,11870000
2021-01-01,1_azul,11572000
2020-12-01,1_azul,12855000
2020-11-01,1_azul,12873000
2020-10-01,1_azul,12750000
2020-09-01,1_azul,11428000
2020-08-01,1_azul,10372000
2020-07-01,1_azul,9406000
2020-06-01,1_azul,7241000
2020-05-01,1_azul,5429000
2020-04-01,1_azul,4839000
2020-03-01,1_azul,17319000
2020-02-01,1_azul,23702000
2020-01-01,1_azul,23207000
2019-12-01,1_azul,32888000
2019-11-01,1_azul,35360000
2019-10-01,1_azul,39719000
2019-09-01,1_azul,35968000
2019-08-01,1_azul,37779000
2019-07-01,1_azul,33892000
2019-06-01,1_azul,32903000
2019-05-01,1_azul,38705000
2019-04-01,1_azul,37571000
2019-03-01,1_azul,36580000
2019-02-01,1_azul,34705000
2019-01-01,1_azul,32037000
2024-12-01,2_verde,11419000
2024-11-01,2_verde,12668000
2024-10-01,2_verde,13971000
2024-09-01,2_verde,13094000
2024-08-01,2_verde,13422000
2024-07-01,2_verde,12274000
2024-06-01,2_verde,12532000
2024-05-01,2_verde,12893000
2024-04-01,2_verde,13423000
2024-03-01,2_verde,12756000
2024-02-01,2_verde,11727000
2024-01-01,2_verde,10704000
2023-12-01,2_verde,11319000
2023-11-01,2_verde,11717000
2023-10-01,2_verde,12113000
2023-09-01,2_verde,12279000
2023-08-01,2_verde,13343000
2023-07-01,2_verde,11490000
2023-06-01,2_verde,11713000
2023-05-01,2_verde,12543000
2023-04-01,2_verde,10961000
2023-03-01,2_verde,12263000
2023-02-01,2_verde,10104000
2023-01-01,2_verde,9831000
2022-12-01,2_verde,10182000
2022-11-01,2_verde,11039000
2022-10-01,2_verde,11672000
2022-09-01,2_verde,11553000
2022-08-01,2_verde,12057000
2022-07-01,2_verde,10490000
2022-06-01,2_verde,10638000
2022-05-01,2_verde,11447000
2022-04-01,2_verde,10196000
2022-03-01,2_verde,10739000
2022-02-01,2_verde,8486000
2022-01-01,2_verde,7484000
2021-12-01,2_verde,8877000
2021-11-01,2_verde,8913000
2021-10-01,2_verde,8506000
2021-09-01,2_verde,8167000
2021-08-01,2_verde,7899000
2021-07-01,2_verde,7114000
2021-06-01,2_verde,6794000
2021-05-01,2_verde,6301000
2021-04-01,2_verde,5161000
2021-03-01,2_verde,5570000
2021-02-01,2_verde,6334000
2021-01-01,2_verde,6058000
2020-12-01,2_verde,6482000
