,,1_azul,2_verde,3._vermelha,4_amarela,7._rubi,10._turquesa,11._coral,12_safira,13_jade
2024,Janeiro,17.684.000,10.704.000,20.195.000,14.239.230,7.940.902,6.927.172,10.823.086,4.940.378,426.893
2024,Fevereiro,18.558.000,11.727.000,20.722.000,15.454.080,8.142.671,7.378.403,10.985.093,5.049.372,422.977
2024,Março,20.437.000,12.756.000,22.256.000,16.704.490,8.912.385,7.970.587,11.649.292,5.448.256,455.340
2024,Abril,21.247.000,13.423.000,23.031.000,17.476.450,9.167.771,8.384.226,12.115.224,5.707.774,477.434
2024,Maio,20.623.000,12.893.000,22.415.000,16.946.690,8.996.900,8.129.058,12.090.311,5.726.026,481.635
2024,Junho,19.934.000,12.532.000,21.887.000,16.436.110,8.884.841,8.011.353,11.967.181,5.613.621,477.212
2024,Julho,19.649.000,12.274.000,2.147.000,16.124.400,9.026.563,8.078.825,12.115.392,5.734.262,494.794
2024,Agosto,21.265.000,13.422.000,23.216.000,17.719.190,9.470.514,8.570.680,12.724.355,6.029.302,514.272
2024,Setembro,20.995.000,13.094.000,22.585.000,17.031.750,9.176.765,8.238.655,12.303.221,5.782.234,510.951
2024,Outubro,22.206.000,13.971.000,24.049.000,18.424.940,9.780.232,8.901.786,13.133.829,6.223.760,545.149
2024,Novembro,2.046.000,12.668.000,22.098.000,16.920.610,9.061.979,8.242.112,12.373.776,5.865.645,522.029
2024,Dezembro,1.884.000,11.419.000,20.679.000,15.264.910,8.525.175,7.793.395,11.812.727,5.822.605,515.158
2023,Janeiro,17.163.000,9.831.000,19.282.000,13.605.410,7.600.503,6.168.330,9.863.434,4.648.400,364.478
2023,Fevereiro,17.057.000,10.104.000,19.249.000,13.777.190,7.492.097,6.648.848,10.036.107,4.682.065,352.512
2023,Março,20.324.000,12.263.000,22.571.000,17.370.640,9.088.352,8.080.157,12.507.250,5.768.105,428.001
2023,Abril,18.701.000,10.961.000,20.602.000,15.070.570,8.048.707,7.197.654,10.876.707,5.141.720,388.648
2023,Maio,20.998.000,12.543.000,23.125.000,17.186.230,8.898.978,8.129.502,12.288.872,5.869.875,435.994
2023,Junho,1.972.000,11.713.000,21.868.000,16.029.960,8.451.318,7.715.077,11.676.216,5.615.087,417.584
2023,Julho,19.187.000,1.149.000,21.327.000,15.459.790,8.474.212,7.596.883,11.626.840,5.561.116,422.492
2023,Agosto,21.408.000,13.343.000,23.646.000,17.702.890,9.200.179,8.399.239,12.680.809,5.945.461,449.889
2023,Setembro,20.269.000,12.279.000,22.305.000,16.572.570,8.820.974,7.775.905,11.840.591,5.551.831,444.752
2023,Outubro,19.754.000,12.113.000,21.584.000,16.172.600,8.760.326,7.658.077,11.717.118,5.438.007,431.242
2023,Novembro,19.241.000,11.717.000,21.516.000,16.110.490,8.398.665,7.469.868,11.391.356,5.509.664,439.950
